iter	RMSE
363	3437.486279
364	3434.710374
365	3432.613869
366	3431.926547
367	3429.24859
368	3425.798783
369	3425.404053
370	3424.679356
371	3421.864068
372	3420.770903
373	3419.400584
374	3416.846751
375	3415.233259
376	3414.426081
377	3413.126344
378	3410.346163
379	3409.198104
380	3406.123891
381	3405.16285
382	3402.621609
383	3401.200859
384	3400.597349
385	3398.969738
386	3396.523875
387	3395.76464
388	3395.160653
389	3391.674251
390	3390.710243
391	3389.959003
392	3389.204402
393	3388.591233
394	3386.351912
395	3384.516998
396	3383.589624
397	3381.435681
398	3377.662965
399	3376.854911
400	3373.79219
401	3372.738269
402	3371.09918
403	3368.158104
404	3367.312146
405	3366.416951
406	3363.671763
407	3361.356938
408	3359.580206
409	3358.129223
410	3357.411199
411	3355.113844
412	3353.073405
413	3352.312034
414	3349.427152
415	3347.970314
416	3346.185123
417	3344.308387
418	3341.450423
419	3339.854145
420	3337.601559
421	3334.365348
422	3333.687587
423	3330.983074
424	3330.484747
425	3329.527163
426	3327.639923
427	3326.832825
428	3323.640008
429	3322.989515
430	3322.606695
431	3322.00275
432	3321.385078
433	3320.892611
434	3319.562291
435	3318.001457
436	3314.85871
437	3312.786699
438	3310.615281
439	3309.668827
440	3304.012589
441	3301.760875
442	3301.166503
443	3299.21969
444	3298.724952
445	3296.694548
446	3296.201117
447	3295.414386
448	3291.521365
449	3290.703846
450	3287.843402
451	3285.770356
452	3284.227826
453	3283.678208
454	3279.73339
455	3278.611845
456	3276.941564
457	3276.397768
458	3274.821818
459	3274.279695
460	3273.776013
461	3272.144382
462	3271.613273
463	3270.783348
464	3269.236918
465	3266.706204
466	3264.923576
467	3263.98633
468	3259.42454
469	3257.834779
470	3256.282795
471	3255.775883
472	3254.260282
473	3252.780331
474	3252.301773
475	3250.794864
476	3248.971171
477	3246.859595
478	3245.798019
479	3244.550856
480	3244.108107
481	3243.168357
482	3240.499758
483	3236.689882
484	3234.008525
485	3233.2537
486	3232.811159
487	3229.698972
488	3229.072137
489	3228.019393
490	3227.654388
491	3226.29821
492	3224.840687
493	3224.140737
494	3222.17992
495	3221.445393
496	3217.87367
497	3216.960938
498	3214.517507
499	3212.866678
500	3211.813035
501	3210.146718
502	3209.555852
503	3206.395642
504	3203.264719
505	3201.81301
506	3201.324525
507	3199.343574
508	3196.340155
509	3195.340863
510	3194.093044
511	3192.381576
512	3190.984134
513	3189.849688
514	3188.839261
515	3187.497228
516	3186.18641
517	3183.580867
518	3181.823546
519	3180.537531
520	3179.507515
521	3177.578644
522	3175.773472
523	3174.360869
524	3171.024844
525	3170.445214
526	3169.853263
527	3168.939984
528	3166.347452
529	3162.979397
530	3161.549312
531	3158.459688
532	3158.075224
533	3154.856935
534	3154.520677
535	3151.775229
536	3148.506098
537	3147.206668
538	3147.031048
539	3146.490182
540	3145.984988
541	3144.170464
542	3142.679742
543	3140.498046
544	3139.04927
545	3136.526728
546	3135.262111
547	3134.508758
548	3132.739926
549	3131.283808
550	3129.869814
551	3126.895582
552	3124.027716
553	3121.357938
554	3120.156879
555	3119.107153
556	3116.766688
557	3116.21256
558	3115.494701
559	3115.003626
560	3110.738636
561	3108.328521
562	3107.274109
563	3105.925424
564	3103.668372
565	3103.434857
566	3100.92374
567	3099.305159
568	3097.109451
569	3095.452586
570	3095.086848
571	3092.840771
572	3088.887088
573	3088.456964
574	3084.696633
575	3083.610177
576	3082.542723
577	3082.178323
578	3080.347556
579	3076.781289
580	3075.051195
581	3073.12584
582	3071.212646
583	3069.739528
584	3069.161063
585	3066.518695
586	3065.654527
587	3064.096493
588	3062.260878
589	3059.46361
590	3056.352604
591	3054.821355
592	3053.585101
593	3051.468041
594	3051.081818
595	3050.380451
596	3049.603503
597	3047.378679
598	3046.978916
599	3043.413038
600	3040.84139
601	3040.23842
602	3038.269021
603	3037.881734
604	3037.506894
605	3033.850909
606	3031.813735
607	3030.050586
608	3029.049206
609	3026.707365
610	3023.80618
611	3021.923186
612	3020.401085
613	3018.50994
614	3016.626374
615	3015.129029
616	3012.169966
617	3011.043467
